輪迴碑石 睿智葫蘆 漆黑的Boss飾品碎片 神秘冥界武器變換箱 神秘冥界防具變換箱 星力16星強化券 星力15星強化券
星力14星強化券 妖精之心 露希妲靈魂寶珠 艾畢奈亞的靈魂寶珠
附加潛在能力賦予卷軸70% 黃金鐵鎚100% 航海師武器變換箱 航海師防具變換箱 航海師文字短杖
航海師混合弓 航海師強弩 航海師雙弩槍 航海師閃耀之杖 航海師幻獸棒
航海師文字長杖 航海師魔法護腕 航海師扇子 航海師ESP限制器 航海師重劍
航海師死亡魔劍 航海師軍刀 航海師雙刃斧 航海師十字錘 航海師重拳槍
航海師戰斧 航海師戰錘 航海師穿刺槍 航海師戰戟 航海師手杖
航海師太刀 航海師鎖鏈 航海師短刀 航海師雙刀 航海師指虎
航海師復仇拳套 航海師能量劍 航海師靈魂射手 航海師能量劍 航海師手槍
機器人商店使用卷(30天) 航海師加農火砲 核心寶石20個交換券 永遠的輪迴星火 銀花戒指
太初的水滴石 奧術之河水滴石 水中信紙眼飾 凝聚力量的結晶石 皇家暗黑合金護肩
戴雅希杜斯耳環 混沌闇黑龍王的項鍊 金花草腰帶 梅克奈特墜飾 水晶愛心
支配者墜飾 星力13星強化券 星力12星強化券 鋰愛心 航海師弓箭手套裝
黃金愛心 航海師弓箭手斗篷 航海師弓箭手手套 航海師弓箭手鞋 航海師法師鞋
航海師弓箭手護肩 航海師弓箭手帽 航海師法師斗篷 航海師法師手套 航海師劍士手套
航海師法師套裝 航海師法師護肩 航海師法師帽 航海師劍士斗篷 航海師盜賊披肩
航海師劍士鞋 航海師劍士套裝 航海師劍士護肩 航海師劍士頭盔 航海師盜賊帽
航海師盜賊手套 航海師盜賊鞋 航海師盜賊套裝 航海師盜賊護肩 航海師海盜護肩
航海師海盜披肩 航海師海盜手套 航海師海盜鞋 航海師海盜套裝 強力的輪迴星火
航海師海盜帽 核心寶石15個交換券 核心寶石10個交換券 核心寶石5個交換券 卷軸20格背包
製作物品20格欄位包包 製作書20格背包 椅子20個欄位包包 稱號20格名片錢包 微弱烙印的靈魂石
幸運日卷軸 稀有潛在能力卷軸80% 回真卷軸50% 初級能量硬幣(A級) 航海師調節器
星力10星強化券 星力11星強化券 航海師古代之弓 航海師仙扇 最上級祝福的秘藥
選擇欄位8格擴充券 傳說中的英雄秘藥 傳說中的祝福秘藥 最上級英雄的秘藥 忍耐的秘藥
最上級力量強化秘藥 最上級智慧強化秘藥 最上級敏捷強化秘藥 最上級幸運強化秘藥 核心寶石4個交換券
覺醒的秘藥 無敵的秘藥 經驗累積的秘藥 獲得財物的秘藥 凡雷恩的靈魂寶珠
核心寶石3個交換券 核心寶石2個交換券 核心寶石1個交換券 皮卡啾的靈魂寶珠 殘暴炎魔的靈魂寶珠
搖滾精神的靈魂寶珠 闇黑龍王的靈魂寶珠 雷克斯的靈魂寶珠 龍騎士的靈魂寶珠 亞尼的靈魂寶珠
航海師武拳 鈦之心 航海師龍息射手
